,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
565,0.253,0.0747,3,-25.539,0,0.0365,0.982,0.929,0.0928,0.155,67.204,audio_features,1tlh5fVBDf3WZoY301xjDC,spotify:track:1tlh5fVBDf3WZoY301xjDC,https://api.spotify.com/v1/tracks/1tlh5fVBDf3WZoY301xjDC,https://api.spotify.com/v1/audio-analysis/1tlh5fVBDf3WZoY301xjDC,249120,4
566,0.128,0.00262,6,-36.152,1,0.037,0.991,0.921,0.111,0.0759,67.485,audio_features,1Uld5u6GAksDqd6K8xnmGS,spotify:track:1Uld5u6GAksDqd6K8xnmGS,https://api.spotify.com/v1/tracks/1Uld5u6GAksDqd6K8xnmGS,https://api.spotify.com/v1/audio-analysis/1Uld5u6GAksDqd6K8xnmGS,377507,4
567,0.23,0.031,8,-27.049,1,0.0363,0.985,0.93,0.252,0.0393,87.914,audio_features,4aauAwPBrO8Ge3fhretICF,spotify:track:4aauAwPBrO8Ge3fhretICF,https://api.spotify.com/v1/tracks/4aauAwPBrO8Ge3fhretICF,https://api.spotify.com/v1/audio-analysis/4aauAwPBrO8Ge3fhretICF,425093,3
568,0.209,0.00299,2,-33.974,1,0.0491,0.992,0.955,0.104,0.039,66.685,audio_features,4b59u2E74KcDuyHCRBkf5v,spotify:track:4b59u2E74KcDuyHCRBkf5v,https://api.spotify.com/v1/tracks/4b59u2E74KcDuyHCRBkf5v,https://api.spotify.com/v1/audio-analysis/4b59u2E74KcDuyHCRBkf5v,442172,3
569,0.392,0.206,1,-18.089,1,0.0384,0.983,0.902,0.132,0.217,110.561,audio_features,7FXF7XOhI3hoJz3QTPF63N,spotify:track:7FXF7XOhI3hoJz3QTPF63N,https://api.spotify.com/v1/tracks/7FXF7XOhI3hoJz3QTPF63N,https://api.spotify.com/v1/audio-analysis/7FXF7XOhI3hoJz3QTPF63N,286960,4
570,0.511,0.15,1,-21.191,1,0.0574,0.99,0.909,0.0852,0.627,155.927,audio_features,7JPMlOUf2ecmtOgaBN6Bzd,spotify:track:7JPMlOUf2ecmtOgaBN6Bzd,https://api.spotify.com/v1/tracks/7JPMlOUf2ecmtOgaBN6Bzd,https://api.spotify.com/v1/audio-analysis/7JPMlOUf2ecmtOgaBN6Bzd,212360,4
571,0.469,0.201,1,-15.601,1,0.0346,0.989,0.897,0.0996,0.49,114.229,audio_features,2WGrUvo49WWrDWwssS0VSm,spotify:track:2WGrUvo49WWrDWwssS0VSm,https://api.spotify.com/v1/tracks/2WGrUvo49WWrDWwssS0VSm,https://api.spotify.com/v1/audio-analysis/2WGrUvo49WWrDWwssS0VSm,353000,4
572,0.315,0.0193,6,-36.586,1,0.0424,0.994,0.929,0.0851,0.226,68.414,audio_features,1Nmu6h48zgRV6QaogVSBvX,spotify:track:1Nmu6h48zgRV6QaogVSBvX,https://api.spotify.com/v1/tracks/1Nmu6h48zgRV6QaogVSBvX,https://api.spotify.com/v1/audio-analysis/1Nmu6h48zgRV6QaogVSBvX,88573,5
573,0.428,0.109,0,-23.014,1,0.035,0.989,0.927,0.118,0.502,96.596,audio_features,6aEJ6HymmZ4Aka59Vc2zG8,spotify:track:6aEJ6HymmZ4Aka59Vc2zG8,https://api.spotify.com/v1/tracks/6aEJ6HymmZ4Aka59Vc2zG8,https://api.spotify.com/v1/audio-analysis/6aEJ6HymmZ4Aka59Vc2zG8,195133,3
574,0.177,0.0742,1,-23.193,1,0.0371,0.984,0.92,0.0866,0.0799,68.608,audio_features,0Pzqs3zJx8LpkNoej1gYZ1,spotify:track:0Pzqs3zJx8LpkNoej1gYZ1,https://api.spotify.com/v1/tracks/0Pzqs3zJx8LpkNoej1gYZ1,https://api.spotify.com/v1/audio-analysis/0Pzqs3zJx8LpkNoej1gYZ1,275947,3
575,0.421,0.0341,3,-28.633,1,0.0425,0.984,0.908,0.108,0.188,128.956,audio_features,1E3JjAuiNJ4juIA75JyvoA,spotify:track:1E3JjAuiNJ4juIA75JyvoA,https://api.spotify.com/v1/tracks/1E3JjAuiNJ4juIA75JyvoA,https://api.spotify.com/v1/audio-analysis/1E3JjAuiNJ4juIA75JyvoA,228720,3
576,0.229,0.0655,1,-26.632,0,0.0348,0.986,0.857,0.0813,0.0897,86.179,audio_features,2yft6wmIss6kFCvctqb26Y,spotify:track:2yft6wmIss6kFCvctqb26Y,https://api.spotify.com/v1/tracks/2yft6wmIss6kFCvctqb26Y,https://api.spotify.com/v1/audio-analysis/2yft6wmIss6kFCvctqb26Y,222747,4
577,0.261,0.0457,11,-26.163,0,0.038,0.989,0.882,0.0822,0.284,82.709,audio_features,4ummDTRAmpsuv7H7szhWvF,spotify:track:4ummDTRAmpsuv7H7szhWvF,https://api.spotify.com/v1/tracks/4ummDTRAmpsuv7H7szhWvF,https://api.spotify.com/v1/audio-analysis/4ummDTRAmpsuv7H7szhWvF,243880,3
