,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,user
136,0.337,0.0143,1,-29.32,1,0.041,0.993,0.921,0.074,0.0362,113.885,audio_features,1l9ra1BpB3DcS4gSBg8Qra,spotify:track:1l9ra1BpB3DcS4gSBg8Qra,https://api.spotify.com/v1/tracks/1l9ra1BpB3DcS4gSBg8Qra,https://api.spotify.com/v1/audio-analysis/1l9ra1BpB3DcS4gSBg8Qra,333227,1,Stiafen
137,0.306,0.0112,11,-32.51,1,0.0593,0.993,0.918,0.119,0.0828,67.969,audio_features,3UiLTMeqt1zQOyZqmU5jiP,spotify:track:3UiLTMeqt1zQOyZqmU5jiP,https://api.spotify.com/v1/tracks/3UiLTMeqt1zQOyZqmU5jiP,https://api.spotify.com/v1/audio-analysis/3UiLTMeqt1zQOyZqmU5jiP,475000,4,Stiafen
138,0.374,0.0913,4,-23.489,1,0.05,0.995,0.853,0.0855,0.0393,135.702,audio_features,1j1OZ8kMPe8Wwe4Yn4p7ya,spotify:track:1j1OZ8kMPe8Wwe4Yn4p7ya,https://api.spotify.com/v1/tracks/1j1OZ8kMPe8Wwe4Yn4p7ya,https://api.spotify.com/v1/audio-analysis/1j1OZ8kMPe8Wwe4Yn4p7ya,232707,4,Stiafen
139,0.291,0.0522,6,-26.225,1,0.043,0.992,0.92,0.0829,0.11,137.946,audio_features,5qQRvqCXuO3uZTazifcGvO,spotify:track:5qQRvqCXuO3uZTazifcGvO,https://api.spotify.com/v1/tracks/5qQRvqCXuO3uZTazifcGvO,https://api.spotify.com/v1/audio-analysis/5qQRvqCXuO3uZTazifcGvO,442840,4,Stiafen
140,0.263,0.0478,6,-26.3,1,0.0431,0.992,0.902,0.0953,0.043,85.789,audio_features,5yrOacLpKD7pHYPO5wsZ2Q,spotify:track:5yrOacLpKD7pHYPO5wsZ2Q,https://api.spotify.com/v1/tracks/5yrOacLpKD7pHYPO5wsZ2Q,https://api.spotify.com/v1/audio-analysis/5yrOacLpKD7pHYPO5wsZ2Q,355680,4,Stiafen
141,0.283,0.0352,4,-21.772,0,0.04,0.99,0.915,0.135,0.0502,69.512,audio_features,66zOdwAIuFXNrB3kcnrkyr,spotify:track:66zOdwAIuFXNrB3kcnrkyr,https://api.spotify.com/v1/tracks/66zOdwAIuFXNrB3kcnrkyr,https://api.spotify.com/v1/audio-analysis/66zOdwAIuFXNrB3kcnrkyr,252000,3,Stiafen
142,0.209,0.00759,3,-30.225,1,0.0502,0.991,0.949,0.116,0.0593,65.385,audio_features,07BYxoTub5POnsajOsoTXb,spotify:track:07BYxoTub5POnsajOsoTXb,https://api.spotify.com/v1/tracks/07BYxoTub5POnsajOsoTXb,https://api.spotify.com/v1/audio-analysis/07BYxoTub5POnsajOsoTXb,366320,4,Stiafen
143,0.314,0.0231,11,-28.419,1,0.0461,0.992,0.881,0.134,0.0677,88.478,audio_features,5UpQqGyhYg70rRXgPuy28o,spotify:track:5UpQqGyhYg70rRXgPuy28o,https://api.spotify.com/v1/tracks/5UpQqGyhYg70rRXgPuy28o,https://api.spotify.com/v1/audio-analysis/5UpQqGyhYg70rRXgPuy28o,311400,4,Stiafen
144,0.191,0.0207,4,-28.815,1,0.0447,0.994,0.906,0.065,0.0676,73.099,audio_features,10uRxefFamrk6OGym4JLlS,spotify:track:10uRxefFamrk6OGym4JLlS,https://api.spotify.com/v1/tracks/10uRxefFamrk6OGym4JLlS,https://api.spotify.com/v1/audio-analysis/10uRxefFamrk6OGym4JLlS,339027,1,Stiafen
145,0.437,0.0171,4,-24.902,1,0.0757,0.995,0.886,0.061,0.0377,61.829,audio_features,6DtkdC9g7j5nprKIYwSVxx,spotify:track:6DtkdC9g7j5nprKIYwSVxx,https://api.spotify.com/v1/tracks/6DtkdC9g7j5nprKIYwSVxx,https://api.spotify.com/v1/audio-analysis/6DtkdC9g7j5nprKIYwSVxx,215227,4,Stiafen
146,0.243,0.0207,1,-27.805,1,0.0348,0.988,0.875,0.0755,0.0389,78.318,audio_features,585DlWLG4WtBbmCWXkiOlF,spotify:track:585DlWLG4WtBbmCWXkiOlF,https://api.spotify.com/v1/tracks/585DlWLG4WtBbmCWXkiOlF,https://api.spotify.com/v1/audio-analysis/585DlWLG4WtBbmCWXkiOlF,373173,3,Stiafen
147,0.268,0.112,5,-20.01,1,0.0355,0.988,0.861,0.0706,0.0455,77.868,audio_features,2aKH74H4YPx8NSITKmrk9X,spotify:track:2aKH74H4YPx8NSITKmrk9X,https://api.spotify.com/v1/tracks/2aKH74H4YPx8NSITKmrk9X,https://api.spotify.com/v1/audio-analysis/2aKH74H4YPx8NSITKmrk9X,419000,4,Stiafen
148,0.382,0.0679,4,-22.494,1,0.0558,0.995,0.89,0.0797,0.0375,135.496,audio_features,3nSDoy25fLyorJdiui7OwS,spotify:track:3nSDoy25fLyorJdiui7OwS,https://api.spotify.com/v1/tracks/3nSDoy25fLyorJdiui7OwS,https://api.spotify.com/v1/audio-analysis/3nSDoy25fLyorJdiui7OwS,243884,4,Stiafen
149,0.323,0.0197,3,-30.173,1,0.0503,0.993,0.909,0.0964,0.0859,71.758,audio_features,78eHNe9UocsHmcgAyTxixZ,spotify:track:78eHNe9UocsHmcgAyTxixZ,https://api.spotify.com/v1/tracks/78eHNe9UocsHmcgAyTxixZ,https://api.spotify.com/v1/audio-analysis/78eHNe9UocsHmcgAyTxixZ,393067,4,Stiafen
150,0.219,0.245,7,-14.514,0,0.0398,0.993,0.892,0.109,0.0398,67.845,audio_features,7gXWx5DBR5MfsFBzPm9zSS,spotify:track:7gXWx5DBR5MfsFBzPm9zSS,https://api.spotify.com/v1/tracks/7gXWx5DBR5MfsFBzPm9zSS,https://api.spotify.com/v1/audio-analysis/7gXWx5DBR5MfsFBzPm9zSS,539533,3,Stiafen
151,0.351,0.0269,10,-28.267,0,0.0378,0.992,0.878,0.116,0.0899,68.506,audio_features,3GIinvDCi2LlQdxPCH1ECa,spotify:track:3GIinvDCi2LlQdxPCH1ECa,https://api.spotify.com/v1/tracks/3GIinvDCi2LlQdxPCH1ECa,https://api.spotify.com/v1/audio-analysis/3GIinvDCi2LlQdxPCH1ECa,327480,4,Stiafen
152,0.219,0.0323,1,-31.578,1,0.0431,0.981,0.946,0.127,0.0605,61.167,audio_features,69oUJ4qeLrbFHCloblMglx,spotify:track:69oUJ4qeLrbFHCloblMglx,https://api.spotify.com/v1/tracks/69oUJ4qeLrbFHCloblMglx,https://api.spotify.com/v1/audio-analysis/69oUJ4qeLrbFHCloblMglx,248613,4,Stiafen
153,0.33,0.0808,3,-18.156,0,0.0425,0.994,0.901,0.102,0.0394,131.502,audio_features,7placlxRSGis91LmiuYOtG,spotify:track:7placlxRSGis91LmiuYOtG,https://api.spotify.com/v1/tracks/7placlxRSGis91LmiuYOtG,https://api.spotify.com/v1/audio-analysis/7placlxRSGis91LmiuYOtG,736000,3,Stiafen
154,0.298,0.0511,10,-24.376,0,0.0419,0.989,0.9,0.0691,0.0508,68.465,audio_features,2foUmaYqZtxk2sWqJAwOXP,spotify:track:2foUmaYqZtxk2sWqJAwOXP,https://api.spotify.com/v1/tracks/2foUmaYqZtxk2sWqJAwOXP,https://api.spotify.com/v1/audio-analysis/2foUmaYqZtxk2sWqJAwOXP,731493,4,Stiafen
155,0.214,0.0181,7,-31.971,1,0.0404,0.987,0.918,0.0672,0.0731,82.601,audio_features,06sDDrEwEG9ewXmV5fkETR,spotify:track:06sDDrEwEG9ewXmV5fkETR,https://api.spotify.com/v1/tracks/06sDDrEwEG9ewXmV5fkETR,https://api.spotify.com/v1/audio-analysis/06sDDrEwEG9ewXmV5fkETR,296267,4,Stiafen
156,0.297,0.00618,5,-36.855,0,0.0397,0.995,0.902,0.0689,0.149,72.332,audio_features,4bN6MHbUqqFS7tG5clItYc,spotify:track:4bN6MHbUqqFS7tG5clItYc,https://api.spotify.com/v1/tracks/4bN6MHbUqqFS7tG5clItYc,https://api.spotify.com/v1/audio-analysis/4bN6MHbUqqFS7tG5clItYc,120107,4,Stiafen
157,0.174,0.038,5,-25.788,1,0.0375,0.979,0.923,0.103,0.103,184.393,audio_features,4UoTkpYwG0GfMiZ6VaUtrz,spotify:track:4UoTkpYwG0GfMiZ6VaUtrz,https://api.spotify.com/v1/tracks/4UoTkpYwG0GfMiZ6VaUtrz,https://api.spotify.com/v1/audio-analysis/4UoTkpYwG0GfMiZ6VaUtrz,418867,3,Stiafen
158,0.315,0.211,0,-22.835,1,0.0384,0.982,0.924,0.147,0.647,120.39,audio_features,51xHvAUYQfhY29GcGlBM0n,spotify:track:51xHvAUYQfhY29GcGlBM0n,https://api.spotify.com/v1/tracks/51xHvAUYQfhY29GcGlBM0n,https://api.spotify.com/v1/audio-analysis/51xHvAUYQfhY29GcGlBM0n,294467,4,Stiafen
159,0.377,0.173,9,-21.377,1,0.0328,0.991,0.909,0.105,0.557,132.335,audio_features,6qbs8UqvEdYEedxTXGHtTF,spotify:track:6qbs8UqvEdYEedxTXGHtTF,https://api.spotify.com/v1/tracks/6qbs8UqvEdYEedxTXGHtTF,https://api.spotify.com/v1/audio-analysis/6qbs8UqvEdYEedxTXGHtTF,503000,4,Stiafen
